drug_name,concentration,norm_response,zlogAUC
Venetoclax,0.1,1.0752003,-1.0597750285645056
Venetoclax,0.1,0.80119944,-1.0597750285645056
Venetoclax,1,0.94025284,-1.0597750285645056
Venetoclax,1,0.70758474,-1.0597750285645056
Venetoclax,10,0.581944,-1.0597750285645056
Venetoclax,10,0.26469418,-1.0597750285645056
Venetoclax,100,0.15301348,-1.0597750285645056
Venetoclax,100,0.12755686,-1.0597750285645056
Venetoclax,1000,0.09361469,-1.0597750285645056
Venetoclax,1000,0.0635047,-1.0597750285645056
Venetoclax,10000,0.0041059074,-1.0597750285645056
Venetoclax,10000,0.004653362,-1.0597750285645056
